Date,Product_Category,Price,Discount,Customer_Segment,Marketing_Spend,Units_Sold
2023-01-01,Fashion,1032.8115644441796,53.730000000000004,Premium,8814.494,36
2023-01-02,Fashion,564.1296331581095,5.4,Premium,8849.828000000001,14
2023-01-03,Sports,689.0856978535701,5.34,Regular,4932.083,28
2023-01-04,Fashion,970.0940322219373,0.915,Premium,12249.575,31
2023-01-05,Home Decor,711.5573139956529,71.745,Premium,2283.879,20
2023-01-06,Fashion,146.22067960597118,55.32000000000001,Premium,6569.628000000001,30
2023-01-07,Electronics,630.8311112073518,26.490000000000002,Premium,9021.675000000001,32
2023-01-08,Home Decor,669.3772704858977,22.245,Premium,9102.132000000001,27
2023-01-09,Toys,451.68814967906115,26.235,Premium,8477.989,34
2023-01-10,Home Decor,886.1427965196376,58.095,Regular,3672.955,33
2023-01-11,Home Decor,994.5142223613271,49.605000000000004,Premium,2140.385,29
2023-01-12,Home Decor,845.347568862248,13.89,Occasional,8314.553000000002,28
2023-01-13,Toys,444.84719353074274,13.065000000000001,Regular,7843.017000000001,40
2023-01-14,Sports,131.2027368242103,7.38,Regular,2438.306,30
2023-01-15,Toys,1097.025115224476,49.53,Occasional,9205.144,24
2023-01-16,Fashion,875.9174773693463,57.33,Regular,5988.06,34
2023-01-17,Toys,126.09734089864094,19.875,Regular,8724.079,21
2023-01-18,Fashion,844.6799199372925,1.5750000000000002,Occasional,10906.909000000001,36
2023-01-19,Fashion,1010.0599491076862,6.165000000000001,Regular,2314.403,22
2023-01-20,Sports,472.7966607559266,72.58500000000001,Occasional,376.38899999999995,16
2023-01-21,Electronics,544.5785915184865,22.155,Occasional,10157.056,20
2023-01-22,Home Decor,382.7067763790698,57.69,Premium,7976.8,22
2023-01-23,Home Decor,64.66811388702213,46.845,Premium,9134.359,38
2023-01-24,Toys,360.09001430212413,28.650000000000002,Occasional,10917.048999999999,30
2023-01-25,Home Decor,953.6551231810367,15.419999999999998,Regular,10462.179,34
2023-01-26,Electronics,16.615994883938622,9.105,Occasional,12497.043000000001,32
2023-01-27,Toys,357.32755215798693,46.125,Regular,7027.488,27
2023-01-28,Electronics,469.48544662478173,58.095,Regular,6416.943,31
2023-01-29,Fashion,514.1711432592774,48.300000000000004,Regular,5302.284,33
2023-01-30,Home Decor,885.3661397370059,39.78,Occasional,2108.002,25
2023-01-31,Sports,374.16197790524944,3.1500000000000004,Regular,7499.453,40
2023-02-01,Fashion,373.8869973243447,72.63,Occasional,3695.146,19
2023-02-02,Home Decor,805.0508027623695,59.91,Premium,11987.222000000002,24
2023-02-03,Electronics,420.7094108395251,21.96,Regular,7635.667,27
2023-02-04,Sports,230.16684522343533,73.5,Occasional,7759.856,34
2023-02-05,Electronics,489.8252871528052,45.135,Occasional,4697.875,31
2023-02-06,Home Decor,162.9776655381187,43.68,Premium,799.0970000000001,34
2023-02-07,Electronics,166.4593621158685,56.099999999999994,Premium,538.538,37
2023-02-08,Electronics,589.4180604121847,60.885000000000005,Regular,5578.326000000001,26
2023-02-09,Home Decor,435.28208269500186,49.230000000000004,Regular,1218.3600000000001,30
2023-02-10,Sports,843.4511059283459,9.600000000000001,Premium,7940.114,43
2023-02-11,Sports,432.5604203744057,25.365000000000002,Premium,11468.118999999999,48
2023-02-12,Home Decor,680.8486704987412,69.6,Premium,11493.118,24
2023-02-13,Sports,740.9773592495537,16.845,Occasional,8611.915,36
2023-02-14,Electronics,25.449610943841655,27.915,Occasional,2848.56,16
2023-02-15,Toys,625.1095255346693,32.400000000000006,Premium,11236.771,37
2023-02-16,Electronics,171.18375318319045,32.955,Occasional,11534.029,16
2023-02-17,Home Decor,925.4382065345504,45.974999999999994,Occasional,2660.931,41
2023-02-18,Electronics,171.43650136597674,70.725,Regular,9620.676000000001,35
